    kworker/u8:1-85    [001] d..2.    26.580537: funcgraph_entry:        0.210 us   |                          _raw_spin_lock_irqsave(); (ret=0x96)
    kworker/u8:1-85    [001] d..3.    26.580537: funcgraph_entry:        0.230 us   |                          _raw_spin_unlock_irqrestore(); (ret=0x0)
    kworker/u8:1-85    [001] d..2.    26.580538: funcgraph_exit:         1.150 us   |                        } (ret=0x0)
    kworker/u8:1-85    [001] d..2.    26.580538: funcgraph_entry:        0.490 us   |                        __printk_safe_exit(); (ret=0x0)
    kworker/u8:1-85    [001] ...2.    26.580539: funcgraph_exit:         2.850 us   |                      } (ret=0x0)
    kworker/u8:1-85    [001] ...2.    26.580539: funcgraph_entry:                   |                      console_unlock() {
    kworker/u8:1-85    [001] ...2.    26.580539: funcgraph_entry:                   |                        nbcon_get_default_prio() {
    kworker/u8:1-85    [001] ...2.    26.580540: funcgraph_entry:        0.210 us   |                          panic_on_this_cpu(); (ret=0xffffff00)
    kworker/u8:1-85    [001] ...2.    26.580540: funcgraph_entry:                   |                          nbcon_get_cpu_emergency_nesting() {
    kworker/u8:1-85    [001] ...2.    26.580540: funcgraph_entry:        0.210 us   |                            printk_percpu_data_ready(); (ret=0x1)
    kworker/u8:1-85    [001] ...2.    26.580541: funcgraph_exit:         0.660 us   |                          } (ret=0xffff8c703bd1d484)
    kworker/u8:1-85    [001] ...2.    26.580541: funcgraph_exit:         1.550 us   |                        } (ret=0x1)
    kworker/u8:1-85    [001] ...2.    26.580541: funcgraph_entry:                   |                        is_printk_legacy_deferred() {
    kworker/u8:1-85    [001] ...2.    26.580541: funcgraph_entry:        0.200 us   |                          is_printk_cpu_sync_owner(); (ret=0xffffff00)
    kworker/u8:1-85    [001] ...2.    26.580542: funcgraph_exit:         0.650 us   |                        } (ret=0xffffff00)
    kworker/u8:1-85    [001] ...2.    26.580542: funcgraph_entry:                   |                        console_flush_one_record() {
    kworker/u8:1-85    [001] ...2.    26.580542: funcgraph_entry:                   |                          nbcon_get_default_prio() {
    kworker/u8:1-85    [001] ...2.    26.580543: funcgraph_entry:        0.200 us   |                            panic_on_this_cpu(); (ret=0xffffff00)
    kworker/u8:1-85    [001] ...2.    26.580543: funcgraph_entry:                   |                            nbcon_get_cpu_emergency_nesting() {
    kworker/u8:1-85    [001] ...2.    26.580543: funcgraph_entry:        0.210 us   |                              printk_percpu_data_ready(); (ret=0x1)
    kworker/u8:1-85    [001] ...2.    26.580544: funcgraph_exit:         0.660 us   |                            } (ret=0xffff8c703bd1d484)
    kworker/u8:1-85    [001] ...2.    26.580544: funcgraph_exit:         1.540 us   |                          } (ret=0x1)
    kworker/u8:1-85    [001] ...2.    26.580544: funcgraph_entry:                   |                          is_printk_legacy_deferred() {
    kworker/u8:1-85    [001] ...2.    26.580544: funcgraph_entry:        0.200 us   |                            is_printk_cpu_sync_owner(); (ret=0xffffff00)
    kworker/u8:1-85    [001] ...2.    26.580545: funcgraph_exit:         0.650 us   |                          } (ret=0xffffff00)
    kworker/u8:1-85    [001] ...2.    26.580545: funcgraph_entry:        0.220 us   |                          __srcu_read_lock(); (ret=0x0)
    kworker/u8:1-85    [001] ...2.    26.580546: funcgraph_entry:                   |                          printk_get_next_message() {
    kworker/u8:1-85    [001] ...2.    26.580546: funcgraph_entry:                   |                            prb_read_valid() {
    kworker/u8:1-85    [001] ...2.    26.580546: funcgraph_entry:                   |                              _prb_read_valid() {
    kworker/u8:1-85    [001] ...2.    26.580546: funcgraph_entry:                   |                                desc_read_finalized_seq() {
    kworker/u8:1-85    [001] ...2.    26.580547: funcgraph_entry:        0.210 us   |                                  desc_read(); (ret=0x2)
    kworker/u8:1-85    [001] ...2.    26.580547: funcgraph_exit:         0.660 us   |                                } (ret=0x0)
    kworker/u8:1-85    [001] ...2.    26.580547: funcgraph_entry:        0.240 us   |                                get_data(); (ret=0xffffffff9aac73b0)
    kworker/u8:1-85    [001] ...2.    26.580548: funcgraph_entry:                   |                                desc_read_finalized_seq() {
    kworker/u8:1-85    [001] ...2.    26.580548: funcgraph_entry:        0.210 us   |                                  desc_read(); (ret=0x2)
    kworker/u8:1-85    [001] ...2.    26.580548: funcgraph_exit:         0.660 us   |                                } (ret=0x0)
    kworker/u8:1-85    [001] ...2.    26.580549: funcgraph_exit:         2.540 us   |                              } (ret=0x1)
